,continent,country,year,gdp,population,lifeexpectancy
15,Asia,Afghanistan,2020,22,39074280,63.16
41,Africa,Angola,2020,101.2,33032075,60.7
67,Europe,Albania,2020,15.6,2877239,76.25
108,South America,Argentina,2020,456.1,45267449,73.51
133,Asia,Armenia,2020,14.1,2964219,72.49
162,North America,Antigua and Barbuda,2020,1.5,98069,74.88
203,Oceania,Australia,2020,1542.4,25550683,81.25
244,Europe,Austria,2020,459.7,9015361,79.44
268,Asia,Azerbaijan,2020,61.5,10154978,68.78
274,Africa,Burundi,2020,2.4,11948454,61.55
315,Europe,Belgium,2020,545.7,11598451,79.29
326,Africa,Benin,2020,11.6,12175480,61.19
347,Africa,Burkina Faso,2020,15.6,20997293,60.06
377,Asia,Bangladesh,2020,220.6,164972348,72.99
405,Europe,Bulgaria,2020,65,6939018,71.65
426,Europe,Bosnia and Herzegovina,2020,21.4,3277152,74.38
456,Europe,Belarus,2020,65.8,9448772,69.65
489,North America,Belize,2020,1.7,398845,71.36
530,South America,Brazil,2020,2379.5,212821986,72.45
571,North America,Barbados,2020,4.8,287437,74.32
582,Asia,Bhutan,2020,2.7,773069,72.03
623,Africa,Botswana,2020,19.6,2359585,58.95
631,Africa,Central African Republic,2020,1.8,4843954,50.21
671,North America,Canada,2020,1981,37799407,80.4
711,Europe,Switzerland,2020,691,8665615,81.75
752,South America,Chile,2020,297.6,19144605,78.09
793,Asia,China,2020,12214.9,1440297825,74.73
825,Africa,Cameroon,2020,41.2,26655083,60.29
856,Africa,Congo,2020,14.8,5540555,63.81
897,South America,Colombia,2020,402.9,50976248,76.69
907,Africa,Cabo Verde,2020,2.2,557026,69.9
948,North America,Costa Rica,2020,51.9,5102158,78.31
989,Europe,Cyprus,2020,28.3,1208886,81.12
1029,Europe,Germany,2020,4021,83830972,78.72
1035,Africa,Djibouti,2020,2.1,990447,64.1
1058,North America,Dominica,2020,0.5,72017,69.76
1099,Europe,Denmark,2020,376.5,5795780,79.59
1140,North America,Dominican Republic,2020,91,10866667,69.76
1149,Africa,Algeria,2020,209.8,43984569,76.23
1190,South America,Ecuador,2020,88.6,17688599,76.41
1231,Africa,Egypt,2020,311.9,102659126,69.59
1239,Africa,Eritrea,2020,3.2,3554797,61.3
1280,Europe,Spain,2020,1613.7,46757980,80.68
1308,Europe,Estonia,2020,28,1326693,74.7
1333,Africa,Ethiopia,2020,64.9,115434444,66.9
1373,Europe,Finland,2020,276.5,5542237,79.16
1414,Oceania,Fiji,2020,4.4,897573,65.93
1455,Europe,France,2020,3003.6,65298930,79.76
1488,Africa,Gabon,2020,20.7,2234448,63.59
1509,Asia,Georgia,2020,18,3987805,68.79
1540,Africa,Ghana,2020,60.5,31181428,63.66
1565,Africa,Guinea,2020,12.7,13191279,59.48
1574,Africa,Gambia,2020,1.3,2427782,63.42
1584,Africa,Guinea-Bissau,2020,1.3,1975718,57.36
1601,Africa,Equatorial Guinea,2020,12.8,1410419,60.87
1641,Europe,Greece,2020,263.2,10413936,78.64
1664,North America,Grenada,2020,1.1,112614,70.63
1705,North America,Guatemala,2020,57.9,17971382,68.95
1733,South America,Guyana,2020,4.2,787215,62.45
1774,North America,Honduras,2020,22.7,9931333,70.67
1799,Europe,Croatia,2020,68.4,4100719,75.54
1822,North America,Haiti,2020,8.5,11426356,63.34
1854,Europe,Hungary,2020,174.3,9655983,73.09
1895,Asia,Indonesia,2020,1266.7,274021604,69.4
1936,Asia,India,2020,3228.9,1382345085,69.52
1977,Europe,Ireland,2020,401.4,4947267,80.2
1990,Asia,Iraq,2020,219.2,40372771,69.93
2018,Europe,Iceland,2020,18.7,341628,80.81
2044,Asia,Israel,2020,330.4,8678517,80.79
2084,Europe,Italy,2020,2146.8,60446035,80.91
2125,North America,Jamaica,2020,14.7,2963429,74.36
2152,Asia,Jordan,2020,33.4,10220604,77.02
2183,Asia,Japan,2020,6272.3,126407422,81.49
2214,Asia,Kazakhstan,2020,216.8,18815231,69.98
2255,Africa,Kenya,2020,69.1,53968739,63.7
2271,Asia,Kyrgyzstan,2020,7.3,6542426,70.75
2289,Asia,Cambodia,2020,22.3,16758448,67.23
2313,Asia,South Korea,2020,1440.1,51276977,80.32
2351,Asia,Kuwait,2020,146.3,4281320,79.25
2382,Asia,Lebanon,2020,44.2,6819976,74.03
2413,Africa,Liberia,2020,1.7,5077411,63.15
2439,Africa,Libya,2020,55,6887247,74.12
2469,North America,Saint Lucia,2020,1.6,183774,71.3
2498,Asia,Sri Lanka,2020,91.6,21428970,73.8
2523,Africa,Lesotho,2020,3,2145194,47.66
2551,Europe,Lithuania,2020,52.1,2715340,71.23
2579,Europe,Luxembourg,2020,68.5,627704,80.62
2605,Europe,Latvia,2020,33.7,1882408,70.58
2645,Africa,Morocco,2020,131.1,36985624,71.68
2659,Africa,Madagascar,2020,12.3,27808395,64.1
2666,Asia,Maldives,2020,4.6,542151,78.63
2707,North America,Mexico,2020,1337.6,129166028,73.13
2717,Africa,Mali,2020,16.3,20346106,62.2
2758,Europe,Malta,2020,14.9,441750,79.94
2774,Asia,Myanmar,2020,80.6,54473253,65.91
2785,Asia,Mongolia,2020,14.7,3287242,63.82
2811,Africa,Mozambique,2020,16.9,31398811,54.46
2828,Africa,Mauritania,2020,6.6,4669775,68.08
2862,Africa,Mauritius,2020,14.4,1272140,70.95
2901,Africa,Malawi,2020,10.3,19211425,62.31
2942,Asia,Malaysia,2020,415.7,32436963,72.61
2972,Africa,Namibia,2020,15.2,2548663,60.58
2982,Africa,Niger,2020,10,24346468,62.06
3023,Africa,Nigeria,2020,488.4,206984347,61.2
3057,North America,Nicaragua,2020,11.4,6638075,72.07
3098,Europe,Netherlands,2020,977.1,17141544,80.4
3138,Europe,Norway,2020,509.6,5428594,81.08
3152,Asia,Nepal,2020,25.5,29225196,68.88
3193,Oceania,New Zealand,2020,195.1,4829021,80.36
3234,Asia,Oman,2020,79.6,5128058,72.97
3275,Asia,Pakistan,2020,267.5,221612785,64.59
